,"Lower (MHz)"," Upper(MHz)"," Middle(MHz)"," Range(MHz)"
"US Amateur (ARRL) 6 Meters",50,54,52,4
"US Amateur (ARRL) 2 Meters",144,148,146,4
"US Amateur (ARRL) 1.25 Meters",222,225,223.5,3
"US Amateur (ARRL) 70 Centimeter",420,450,435,30
"UHF IV/V",470,862,666,392
"WCDMA XII (SMH 700) TX",698,716,707,18
"LTE 12 (700 MHz Lower, A+B+C) TX",699,716,707.5,17
"LTE 17 (700 MHz Lower, B+C) TX",704,716,710,12
"WCDMA XII (SMH 700)",698,746,722,48
"LTE 12 (700 MHz Lower, A+B+C)",699,746,722.5,47
"LTE 17 (700 MHz Lower, B+C)",704,746,725,42
"LTE 28 (700 MHz APAC) TX",703,748,725.5,45
"WCDMA XII (SMH 700) RX",728,746,737,18
"LTE 12 (700 MHz Lower, A+B+C) R",729,746,737.5,17
"LTE 17 (700 MHz Lower, B+C) RX",734,746,740,12
"WCMDA XIII (SMH 700) RX",746,756,751,10
"LTE 13 (700 MHz Upper) RX",746,756,751,10
"LTE 28 (700 MHz APAC)",703,803,753,100
"LTE 44 (700 MHz APAC)",703,803,753,100
"WCDMA XIV (SMH 700) RX",758,768,763,10
"LTE 14 (Public Safety) RX",758,768,763,10
"WCMDA XIII (SMH 700)",746,787,766.5,41
"LTE 13 (700 MHz Upper)",756,777,766.5,21
"WCDMA XIV (SMH 700)",758,798,778,40
"LTE 14 (Public Safety)",768,788,778,20
"LTE 28 (700 MHz APAC) RX",758,803,780.5,45
"WCMDA XIII (SMH 700) TX",777,787,782,10
"LTE 13 (700 MHz Upper) TX",777,787,782,10
"WCDMA XIV (SMH 700) TX",788,798,793,10
"LTE 14 (Public Safety) TX",788,798,793,10
"LTE 20 (800 MHz EDD) RX",791,821,806,30
"LTE 27 (850 MHz lower) TX",807,824,815.5,17
"LTE 18 (Japan 800 MHz lower) TX",815,830,822.5,15
"LTE 20 (800 MHz EDD)",821,832,826.5,11
"LTE 26 (800 MHz iDEN) TX",814,849,831.5,35
"WCDMA VI (800MHz) TX",830,840,835,10
"LTE 6 (UTRA only) TX",830,840,835,10
"GSM850 TX",824,849,836.5,25
"WCDMA V (850MHz) TX",824,849,836.5,25
"LTE 5 (850 MHz) TX",824,849,836.5,25
"LTE 19 (Japan 800 MHz upper) TX",830,845,837.5,15
"LTE 27 (850 MHz lower)",807,869,838,62
"LTE 18 (Japan 800 MHz lower)",815,875,845,60
"LTE 20 (800 MHz EDD) TX",832,862,847,30
"LTE 26 (800 MHz iDEN)",814,894,854,80
"WCDMA VI (800MHz)",830,885,857.5,55
"LTE 6 (UTRA only)",830,885,857.5,55
"GSM 850 (Cellular)",824,894,859,70
"WCDMA V (850MHz)",824,894,859,70
"LTE 5 (850 MHz)",824,894,859,70
"LTE 19 (Japan 800 MHz upper)",830,890,860,60
"LTE 27 (850 MHz lower) RX",852,869,860.5,17
"LTE 18 (Japan 800 MHz lower) RX",860,875,867.5,15
"LTE 26 (800 MHz iDEN) RX",859,894,876.5,35
"WCDMA VI (800MHz) RX",875,885,880,10
"LTE 6 (UTRA only) RX",875,885,880,10
"GSM850 RX",869,894,881.5,25
"WCDMA V (850MHz) RX",869,894,881.5,25
"LTE 5 (850 MHz) RX",869,894,881.5,25
"LTE 19 (Japan 800 MHz upper) RX",875,890,882.5,15
"GSM900 TX",880,915,897.5,35
"WCDMA VIII (GSM900) TX",880,915,897.5,35
"LTE 8 (900 MHz) TX",880,915,897.5,35
"US Amateur (ARRL) 33 Centimeters",902,928,915,26
"GSM 900",880,960,920,80
"WCDMA VIII (GSM900)",880,960,920,80
"LTE 8 (900 MHz)",880,960,920,80
"GSM900 RX",925,960,942.5,35
"WCDMA VIII (GSM900) RX",925,960,942.5,35
"LTE 8 (900 MHz) RX",925,960,942.5,35
"US Amateur (ARRL) 23 Centimeters",1240,1300,1270,60
"WCDMA XI (1500) TX",1427.9,1447.9,1437.9,20
"LTE 11 (1.5 GHz Lower) TX",1427.9,1447.9,1437.9,20
"WCDMA XI (1500)",1427.9,1459.9,1443.9,32
"LTE 21 (1.5 GHz Upper) TX",1447.9,1462.9,1455.4,15
"LTE 11 (1.5 GHz Lower)",1427.9,1495.9,1461.9,68
"WCDMA XI (1500) RX",1459.9,1475.9,1467.9,16
"L band",1452,1492,1472,40
"LTE 21 (1.5 GHz Upper)",1447.9,1510.9,1479.4,63
"LTE 11 (1.5 GHz Lower) RX",1475.9,1495.9,1485.9,20
"LTE 21 (1.5 GHz Upper) RX",1495.9,1510.9,1503.4,15
"LTE 24 (L Band) RX",1525,1559,1542,34
"GPS",1574.4,1576.4,1575.4,2
"LTE 24 (L Band)",1559,1626.5,1592.75,67.5
"LTE 24 (L Band) TX",1626.5,1660.5,1643.5,34
"WCDMA IV (AWS) TX",1710,1755,1732.5,45
"LTE 4 (AWS) TX",1710,1755,1732.5,45
"WCDMA X (1700) TX",1710,1770,1740,60
"LTE 10 (Extended AWS) TX",1710,1770,1740,60
"GSM1800 (DCS) TX",1710,1785,1747.5,75
"WCDMA III (PCS) TX",1710,1785,1747.5,75
"LTE 3 (DCS 1800) TX",1710,1785,1747.5,75
"WCDMA IX (1700) TX",1749.9,1784.9,1767.4,35
"LTE 9 (1700 MHz) TX",1749.9,1784.9,1767.4,35
"GSM 1800 (DCS)",1710,1880,1795,170
"WCDMA III (DCS)",1710,1880,1795,170
"LTE 3 (DCS 1800)",1710,1880,1795,170
"WCDMA IX (1700)",1749.9,1879.9,1814.9,130
"LTE 9 (1700 MHz)",1749.9,1879.9,1814.9,130
"GSM1800 (DCS) RX",1805,1880,1842.5,75
"WCDMA III (PCS) RX",1805,1880,1842.5,75
"LTE 3 (DCS 1800) RX",1805,1880,1842.5,75
"WCDMA IX (1700) RX",1844.9,1879.9,1862.4,35
"LTE 9 (1700 MHz) RX",1844.9,1879.9,1862.4,35
"WCDMA II (PCS)",1850,1900,1875,50
"LTE 35 (TDD 1900)",1850,1910,1880,60
"GSM1900 (PCS) TX",1850,1910,1880,60
"WCDMA II (PCS) TX",1850,1910,1880,60
"LTE 2 (PCS 1900) TX",1850,1910,1880,60
"LTE 25 (PCS 1900 + G Block) TX",1850,1915,1882.5,65
"LTE 39 (China TDD 1.9 GHz)",1880,1920,1900,40
"LTE 33 (TDD 2000)",1900,1920,1910,20
"WCDMA II (PCS) RX",1900,1930,1915,30
"GSM 1900 (PCS)",1850,1990,1920,140
"LTE 2 (PCS 1900)",1850,1990,1920,140
"LTE 37 (TDD PCS)",1910,1930,1920,20
"LTE 25 (PCS 1900 + G Block)",1850,1995,1922.5,145
"WCDMA IV (AWS)",1710,2155,1932.5,445
"LTE 4 (AWS)",1710,2155,1932.5,445
"WCDMA X (1700)",1710,2170,1940,460
"LTE 10 (Extended AWS)",1710,2170,1940,460
"WCDMA I TX",1920,1980,1950,60
"LTE 1 (IMT 2.1 GHz) TX",1920,1980,1950,60
"LTE 36 (TDD 1900)",1930,1990,1960,60
"GSM1900 (PCS) RX",1930,1990,1960,60
"LTE 2 (PCS 1900) RX",1930,1990,1960,60
"LTE 25 (PCS 1900 + G Block) RX",1930,1995,1962.5,65
"LTE 23 (2 GHz S-Band) TX",2000,2020,2010,20
"LTE 34 (TDD 2000)",2010,2025,2017.5,15
"WCDMA I (2100MHz)",1920,2170,2045,250
"LTE 1 (IMT 2.1 GHz)",1920,2170,2045,250
"LTE 23 (2 GHz S-Band)",2000,2200,2100,200
"WCDMA IV (AWS) RX",2110,2155,2132.5,45
"LTE 4 (AWS) RX",2110,2155,2132.5,45
"WCDMA I RX",2110,2170,2140,60
"WCDMA X (1700) RX",2110,2170,2140,60
"LTE 1 (IMT 2.1 GHz) RX",2110,2170,2140,60
"LTE 10 (Extended AWS) RX",2110,2170,2140,60
"LTE 23 (2 GHz S-Band) RX",2180,2200,2190,20
"US Amateur (ARRL) 13 Centimeters",2300,2310,2305,10
"Wimax US WCS",2305,2320,2312.5,15
"Wimax US WCS (both)",2305,2360,2332.5,55
"LTE 40 (China TDD 2.3 GHz)",2300,2400,2350,100
"Wimax US WCS",2345,2360,2352.5,15
"US Amateur (ARRL) 12.4 Centimeters",2390,2450,2420,60
"Wimax ISM",2400,2480,2440,80
"Bluetooth (2500MHz)",2400,2500,2450,100
"WCDMA VII (2600MHz) TX",2500,2570,2535,70
"LTE 7 (2.6 GHz) TX",2500,2570,2535,70
"LTE 41 (TDD 2.5 GHz)",2496,2690,2593,194
"WCDMA VII (2600MHz)",2500,2690,2595,190
"LTE 7 (2.6 GHz)",2500,2690,2595,190
"Wimax MMDS",2500,2690,2595,190
"LTE 38 (TDD 2.6 GHz)",2570,2620,2595,50
"Wimax 2.5 GHz all",2305,2900,2602.5,595
"WCDMA VII (2600MHz) RX",2620,2690,2655,70
"LTE 7 (2.6 GHz) RX",2620,2690,2655,70
"Wimax MMDS (both)",2500,2900,2700,400
"Wimax MMDS",2700,2900,2800,200
"Wimax 3.5 GHz band",3300,3400,3350,100
"US Amateur (ARRL) 9 Centimeters",3300,3500,3400,200
"Wimax 3.5 GHz all",3300,3600,3450,300
"LTE 22 (3.5 Ghz) TX",3410,3490,3450,80
"LTE 42 (TDD 3.4 GHz)",3400,3600,3500,200
"Wimax 3.5 GHz band",3400,3600,3500,200
"LTE 22 (3.5 Ghz)",3410,3590,3500,180
"LTE 22 (3.5 Ghz) RX",3510,3590,3550,80
"LTE 43 (TDD 3.6 GHz)",3600,3800,3700,200
"Wimax U-NII (Low & Mid)",5150,5350,5250,200
"Wimax WRC",5470,5725,5597.5,255
"Wimax U-NII (Upper)/ISM",5725,5850,5787.5,125
